variable,units,mean,CV,type,min.age,max.age,gender,pucid
house.prev,[-],0.7,1,point,0,99,B,PC.0800.040
f.residual,[-],0.3,0,point,0,99,B,PC.0800.050
volume,m^3,24,0,Point,0,99,B,PC.0800.050
f.drain,[-],1,0,Uniform,0,99,B,PC.0800.050
mass,g,1,1,Lognormal,0,99,B,PC.0800.050
use.freq,1/year,365,1,lognormal,0,99,B,PC.0800.050
duration,minutes,10,1,Lognormal,0,99,B,PC.0800.050
use.prev,[-],0.73,1,point,0,12,B,PC.0800.050
use.prev,[-],0,1,point,13,99,M,PC.0800.050
use.prev,[-],0,1,point,13,99,W,PC.0800.050
f.contact,[-],1,0,Point,0,99,B,PC.0800.050
house.prev,[-],0.73,1,point,0,99,B,PC.0800.050
f.residual,[-],0.05,0,point,0,99,B,PC.0800.060
volume,m^3,24,0,Point,0,99,B,PC.0800.060
f.drain,[-],0.15,0.577350269189626,Uniform,0,99,B,PC.0800.060
mass,g,1,1,Lognormal,0,99,B,PC.0800.060
use.freq,1/year,120,1,lognormal,0,99,B,PC.0800.060
duration,minutes,5,1,Lognormal,0,99,B,PC.0800.060
use.prev,[-],0.4,1,point,0,12,B,PC.0800.060
use.prev,[-],0,1,point,13,99,M,PC.0800.060
use.prev,[-],0.02,1,point,13,99,W,PC.0800.060
f.contact,[-],1,0,Point,0,99,B,PC.0800.060
house.prev,[-],0.4,1,point,0,99,B,PC.0800.060
f.residual,[-],0.05,0,point,0,99,B,PC.0500.010
volume,m^3,24,0,Point,0,99,B,PC.0500.010
f.drain,[-],1,0,Uniform,0,99,B,PC.0500.010
mass,g,3,1,Lognormal,0,99,B,PC.0500.010
use.freq,1/year,301,1,lognormal,0,99,B,PC.0500.010
duration,minutes,2,1,Lognormal,0,99,B,PC.0500.010
use.prev,[-],0.9,1,point,0,12,B,PC.0500.010
use.prev,[-],0.9,1,point,13,99,M,PC.0500.010
use.prev,[-],0.9,1,point,13,99,W,PC.0500.010
f.contact,[-],1,0,Point,0,99,B,PC.0500.010
house.prev,[-],0.9,1,point,0,99,B,PC.0500.010
f.residual,[-],0.1,0,point,0,99,B,PC.2800.010
volume,m^3,24,0,Point,0,99,B,PC.2800.010
f.drain,[-],1,0,Uniform,0,99,B,PC.2800.010
mass,g,30,1,Lognormal,0,99,B,PC.2800.010
use.freq,1/year,50,1,lognormal,0,99,B,PC.2800.010
duration,minutes,20,1,Lognormal,0,99,B,PC.2800.010
use.prev,[-],0.3,1,point,0,12,B,PC.2800.010
use.prev,[-],0.3,1,point,13,99,M,PC.2800.010
use.prev,[-],0.3,1,point,13,99,W,PC.2800.010
f.contact,[-],1,0,Point,0,99,B,PC.2800.010
house.prev,[-],0.3,1,point,0,99,B,PC.2800.010
f.residual,[-],0.01,0,point,0,99,B,PC.0800.070
volume,m^3,24,0,Point,0,99,B,PC.0800.070
f.drain,[-],1,0,Uniform,0,99,B,PC.0800.070
mass,g,30,1,Lognormal,0,99,B,PC.0800.070
use.freq,1/year,52,1,lognormal,0,99,B,PC.0800.070
duration,minutes,30,1,Lognormal,0,99,B,PC.0800.070
use.prev,[-],0.1,1,point,0,12,B,PC.0800.070
use.prev,[-],0.05,1,point,13,99,M,PC.0800.070
use.prev,[-],0.05,1,point,13,99,W,PC.0800.070
f.contact,[-],1,0,Point,0,99,B,PC.0800.070
house.prev,[-],0.1,1,point,0,99,B,PC.0800.070
f.residual,[-],0.1,0,point,0,99,B,PC.2800.020
volume,m^3,24,0,Point,0,99,B,PC.2800.020
f.drain,[-],1,0,Uniform,0,99,B,PC.2800.020
mass,g,19,1,Lognormal,0,99,B,PC.2800.020
use.freq,1/year,2,1,lognormal,0,99,B,PC.2800.020
duration,minutes,20,1,Lognormal,0,99,B,PC.2800.020
use.prev,[-],0.3,1,point,0,12,B,PC.2800.020
use.prev,[-],0.3,1,point,13,99,M,PC.2800.020
use.prev,[-],0.3,1,point,13,99,W,PC.2800.020
f.contact,[-],1,0,Point,0,99,B,PC.2800.020
house.prev,[-],0.3,1,point,0,99,B,PC.2800.020
f.residual,[-],1,0,point,0,99,B,PC.0200.010
volume,m^3,24,0,Point,0,99,B,PC.0200.010
f.drain,[-],1,0,Uniform,0,99,B,PC.0200.010
mass,g,10,1,Lognormal,0,99,B,PC.0200.010
use.freq,1/year,24,1,lognormal,0,99,B,PC.0200.010
duration,minutes,10,1,Lognormal,0,99,B,PC.0200.010
use.prev,[-],0.05,1,point,0,12,B,PC.0200.010
use.prev,[-],0.2,1,point,13,99,M,PC.0200.010
use.prev,[-],0.05,1,point,13,99,W,PC.0200.010
f.contact,[-],1,0,Point,0,99,B,PC.0200.010
house.prev,[-],0.2,1,point,0,99,B,PC.0200.010
f.residual,[-],1,0,point,0,99,B,PC.2300.010
volume,m^3,24,0,Point,0,99,B,PC.2300.010
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.010
mass,g,0.05,1,Lognormal,0,99,B,PC.2300.010
use.freq,1/year,430,1,lognormal,0,99,B,PC.2300.010
duration,minutes,5,1,Lognormal,0,99,B,PC.2300.010
use.prev,[-],0.05,1,point,0,12,B,PC.2300.010
use.prev,[-],0.01,1,point,13,99,M,PC.2300.010
use.prev,[-],0.7,1,point,13,99,W,PC.2300.010
f.contact,[-],1,0,Point,0,99,B,PC.2300.010
house.prev,[-],0.7,1,point,0,99,B,PC.2300.010
f.residual,[-],1,0,point,0,99,B,PC.0300.010
volume,m^3,24,0,Point,0,99,B,PC.0300.010
f.drain,[-],1,0,Uniform,0,99,B,PC.0300.010
mass,g,5,1,Lognormal,0,99,B,PC.0300.010
use.freq,1/year,12,1,lognormal,0,99,B,PC.0300.010
duration,minutes,10,1,Lognormal,0,99,B,PC.0300.010
use.prev,[-],0,1,point,0,12,B,PC.0300.010
use.prev,[-],0.01,1,point,13,99,M,PC.0300.010
use.prev,[-],0.02,1,point,13,99,W,PC.0300.010
f.contact,[-],1,0,Point,0,99,B,PC.0300.010
house.prev,[-],0.02,1,point,0,99,B,PC.0300.010
f.residual,[-],1,0,point,0,99,B,PC.0400.010
volume,m^3,24,0,Point,0,99,B,PC.0400.010
f.drain,[-],1,0,Uniform,0,99,B,PC.0400.010
mass,g,5,1,Lognormal,0,99,B,PC.0400.010
use.freq,1/year,12,1,lognormal,0,99,B,PC.0400.010
duration,minutes,5,1,Lognormal,0,99,B,PC.0400.010
use.prev,[-],0,1,point,0,12,B,PC.0400.010
use.prev,[-],0.05,1,point,13,99,M,PC.0400.010
use.prev,[-],0.5,1,point,13,99,W,PC.0400.010
f.contact,[-],1,0,Point,0,99,B,PC.0400.010
house.prev,[-],0.5,1,point,0,99,B,PC.0400.010
f.residual,[-],0.1,0,point,0,99,B,PC.0600.010
f.aerosol,[-],0.55,0.47237749297333,Uniform,0,99,B,PC.0600.010
volume,m^3,24,0,Point,0,99,B,PC.0600.010
f.drain,[-],1,0,Uniform,0,99,B,PC.0600.010
mass,g,8,1,Lognormal,0,99,B,PC.0600.010
use.freq,1/year,24,1,lognormal,0,99,B,PC.0600.010
duration,minutes,30,1,Lognormal,0,99,B,PC.0600.010
use.prev,[-],0.05,1,point,0,12,B,PC.0600.010
use.prev,[-],0.1,1,point,13,99,M,PC.0600.010
use.prev,[-],0.3,1,point,13,99,W,PC.0600.010
f.contact,[-],1,0,Point,0,99,B,PC.0600.010
house.prev,[-],0.3,1,point,0,99,B,PC.0600.010
f.residual,[-],0.5,0,point,0,99,B,PC.0700.010
volume,m^3,24,0,Point,0,99,B,PC.0700.010
f.drain,[-],0.15,0.577350269189626,Uniform,0,99,B,PC.0700.010
mass,g,1,1,Lognormal,0,99,B,PC.0700.010
use.freq,1/year,64,1,lognormal,0,99,B,PC.0700.010
duration,minutes,5,1,Lognormal,0,99,B,PC.0700.010
use.prev,[-],0.05,1,point,0,12,B,PC.0700.010
use.prev,[-],0.2,1,point,13,99,M,PC.0700.010
use.prev,[-],0.5,1,point,13,99,W,PC.0700.010
f.contact,[-],1,0,Point,0,99,B,PC.0700.010
house.prev,[-],0.5,1,point,0,99,B,PC.0700.010
f.residual,[-],0.05,0,point,0,99,B,PC.0500.020
volume,m^3,24,0,Point,0,99,B,PC.0500.020
f.drain,[-],1,0,Uniform,0,99,B,PC.0500.020
mass,g,12,1,Lognormal,0,99,B,PC.0500.020
use.freq,1/year,365,1,lognormal,0,99,B,PC.0500.020
duration,minutes,10,1,Lognormal,0,99,B,PC.0500.020
use.prev,[-],0.6,1,point,0,12,B,PC.0500.020
use.prev,[-],0.4,1,point,13,99,M,PC.0500.020
use.prev,[-],0.13,1,point,13,99,W,PC.0500.020
f.contact,[-],1,0,Point,0,99,B,PC.0500.020
house.prev,[-],0.6,1,point,0,99,B,PC.0500.020
f.residual,[-],0.05,0,point,0,99,B,PC.0500.030
volume,m^3,24,0,Point,0,99,B,PC.0500.030
f.drain,[-],1,0,Uniform,0,99,B,PC.0500.030
mass,g,12,1,Lognormal,0,99,B,PC.0500.030
use.freq,1/year,365,1,lognormal,0,99,B,PC.0500.030
duration,minutes,10,1,Lognormal,0,99,B,PC.0500.030
use.prev,[-],0.6,1,point,0,12,B,PC.0500.030
use.prev,[-],0.4,1,point,13,99,M,PC.0500.030
use.prev,[-],0.13,1,point,13,99,W,PC.0500.030
f.contact,[-],1,0,Point,0,99,B,PC.0500.030
house.prev,[-],0.6,1,point,0,99,B,PC.0500.030
f.residual,[-],0.5,0,point,0,99,B,PC.0500.040
volume,m^3,24,0,Point,0,99,B,PC.0500.040
f.drain,[-],0.15,0.577350269189626,Uniform,0,99,B,PC.0500.040
mass,g,1,1,Lognormal,0,99,B,PC.0500.040
use.freq,1/year,52,1,lognormal,0,99,B,PC.0500.040
duration,minutes,10,1,Lognormal,0,99,B,PC.0500.040
use.prev,[-],0,1,point,0,12,B,PC.0500.040
use.prev,[-],0.02,1,point,13,99,M,PC.0500.040
use.prev,[-],0.02,1,point,13,99,W,PC.0500.040
f.contact,[-],1,0,Point,0,99,B,PC.0500.040
house.prev,[-],0.02,1,point,0,99,B,PC.0500.040
f.residual,[-],0.05,0,point,0,99,B,PC.2800.030
volume,m^3,24,0,Point,0,99,B,PC.2800.030
f.drain,[-],1,0,Uniform,0,99,B,PC.2800.030
mass,g,15,1,Lognormal,0,99,B,PC.2800.030
use.freq,1/year,53,1,lognormal,0,99,B,PC.2800.030
duration,minutes,15,1,Lognormal,0,99,B,PC.2800.030
use.prev,[-],0.43,1,point,0,12,B,PC.2800.030
use.prev,[-],0.06,1,point,13,99,M,PC.2800.030
use.prev,[-],0.2,1,point,13,99,W,PC.2800.030
f.contact,[-],1,0,Point,0,99,B,PC.2800.030
house.prev,[-],0.43,1,point,0,99,B,PC.2800.030
f.residual,[-],0.01,0,point,0,99,B,PC.2700.050
volume,m^3,24,0,Point,0,99,B,PC.2700.050
f.drain,[-],0.15,0.577350269189626,Uniform,0,99,B,PC.2700.050
mass,g,5,1,Lognormal,0,99,B,PC.2700.050
use.freq,1/year,12,1,lognormal,0,99,B,PC.2700.050
duration,minutes,10,1,Lognormal,0,99,B,PC.2700.050
use.prev,[-],0,1,point,0,12,B,PC.2700.050
use.prev,[-],0.03,1,point,13,99,M,PC.2700.050
use.prev,[-],0,1,point,13,99,W,PC.2700.050
f.contact,[-],0.01,0,Point,0,99,B,PC.2700.050
house.prev,[-],0.03,1,point,0,99,B,PC.2700.050
f.residual,[-],0.1,0,point,0,99,B,PC.1100.020
f.aerosol,[-],0.55,0.47237749297333,Uniform,0,99,B,PC.1100.020
volume,m^3,24,0,Point,0,99,B,PC.1100.020
f.drain,[-],1,0,Uniform,0,99,B,PC.1100.020
mass,g,10,1,Lognormal,0,99,B,PC.1100.020
use.freq,1/year,365,1,lognormal,0,99,B,PC.1100.020
duration,minutes,3,1,Lognormal,0,99,B,PC.1100.020
use.prev,[-],0.1,1,point,0,12,B,PC.1100.020
use.prev,[-],0.16,1,point,13,99,M,PC.1100.020
use.prev,[-],0.2,1,point,13,99,W,PC.1100.020
f.contact,[-],1,0,Point,0,99,B,PC.1100.020
house.prev,[-],0.2,1,point,0,99,B,PC.1100.020
f.residual,[-],0.01,0,point,0,99,B,PC.2300.020
volume,m^3,24,0,Point,0,99,B,PC.2300.020
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.020
mass,g,5,1,Lognormal,0,99,B,PC.2300.020
use.freq,1/year,12,1,lognormal,0,99,B,PC.2300.020
duration,minutes,10,1,Lognormal,0,99,B,PC.2300.020
use.prev,[-],0,1,point,0,12,B,PC.2300.020
use.prev,[-],0,1,point,13,99,M,PC.2300.020
use.prev,[-],0.05,1,point,13,99,W,PC.2300.020
f.contact,[-],0.01,0,Point,0,99,B,PC.2300.020
house.prev,[-],0.05,1,point,0,99,B,PC.2300.020
f.residual,[-],1,0,point,0,99,B,PC.0900.030
volume,m^3,24,0,Point,0,99,B,PC.0900.030
f.drain,[-],1,0,Uniform,0,99,B,PC.0900.030
f.ingested,[-],0.01,0.3,Lognormal,0,99,B,PC.0900.030
mass,g,20,1,Lognormal,0,99,B,PC.0900.030
use.freq,1/year,365,1,lognormal,0,99,B,PC.0900.030
duration,minutes,5,1,Lognormal,0,99,B,PC.0900.030
use.prev,[-],0,1,point,0,12,B,PC.0900.030
use.prev,[-],0,1,point,13,60,M,PC.0900.030
use.prev,[-],0,1,point,13,60,W,PC.0900.030
use.prev,[-],0.5,1,point,61,99,M,PC.0900.030
use.prev,[-],0.5,1,point,61,99,W,PC.0900.030
f.contact,[-],1,0,Point,0,99,B,PC.0900.030
house.prev,[-],0.5,1,point,0,99,B,PC.0900.030
f.residual,[-],1,0,point,0,99,B,PC.0900.040
volume,m^3,24,0,Point,0,99,B,PC.0900.040
f.drain,[-],1,0,Uniform,0,99,B,PC.0900.040
f.ingested,[-],0.01,0.3,Lognormal,0,99,B,PC.0900.040
mass,g,20,1,Lognormal,0,99,B,PC.0900.040
use.freq,1/year,365,1,lognormal,0,99,B,PC.0900.040
duration,minutes,5,1,Lognormal,0,99,B,PC.0900.040
use.prev,[-],0,1,point,0,12,B,PC.0900.040
use.prev,[-],0,1,point,13,60,M,PC.0900.040
use.prev,[-],0,1,point,13,60,W,PC.0900.040
use.prev,[-],0.5,1,point,61,99,M,PC.0900.040
use.prev,[-],0.5,1,point,61,99,W,PC.0900.040
f.contact,[-],1,0,Point,0,99,B,PC.0900.040
house.prev,[-],0.5,1,point,0,99,B,PC.0900.040
f.residual,[-],1,0,point,0,99,B,PC.1000.010
volume,m^3,24,0,Point,0,99,B,PC.1000.010
f.drain,[-],1,0,Uniform,0,99,B,PC.1000.010
mass,g,1,1,Lognormal,0,99,B,PC.1000.010
use.freq,1/year,365,1,lognormal,0,99,B,PC.1000.010
duration,minutes,5,1,Lognormal,0,99,B,PC.1000.010
use.prev,[-],0,1,point,0,5,B,PC.1000.010
use.prev,[-],0.42,1,point,6,12,B,PC.1000.010
use.prev,[-],0.95,1,point,13,99,M,PC.1000.010
use.prev,[-],0.95,1,point,13,99,W,PC.1000.010
f.contact,[-],1,0,Point,0,99,B,PC.1000.010
house.prev,[-],0.95,1,point,0,99,B,PC.1000.010
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,PC.1000.010
mass,g,3,1,Lognormal,0,99,B,PC.1000.010
f.residual,[-],5e-04,0,point,0,99,B,PC.2700.060
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,PC.2700.060
volume,m^3,24,0,Point,0,99,B,PC.2700.060
f.drain,[-],1,0,Uniform,0,99,B,PC.2700.060
mass,g,5.5,1,Lognormal,0,99,B,PC.2700.060
use.freq,1/year,17,1,lognormal,0,99,B,PC.2700.060
duration,minutes,15,1,Lognormal,0,99,B,PC.2700.060
use.prev,[-],0,1,point,0,12,B,PC.2700.060
use.prev,[-],0.01,1,point,13,99,M,PC.2700.060
use.prev,[-],0.2,1,point,13,99,W,PC.2700.060
f.contact,[-],1,0,Point,0,99,B,PC.2700.060
house.prev,[-],0.2,1,point,0,99,B,PC.2700.060
f.residual,[-],1,0,point,0,99,B,PC.0800.080
volume,m^3,24,0,Point,0,99,B,PC.0800.080
f.drain,[-],1,0,Uniform,0,99,B,PC.0800.080
mass,g,1,1,Lognormal,0,99,B,PC.0800.080
use.freq,1/year,720,1,lognormal,0,99,B,PC.0800.080
duration,minutes,5,1,Lognormal,0,99,B,PC.0800.080
use.prev,[-],0.25,1,point,0,12,B,PC.0800.080
use.prev,[-],0.01,1,point,13,99,M,PC.0800.080
use.prev,[-],0.01,1,point,13,99,W,PC.0800.080
f.contact,[-],1,0,Point,0,99,B,PC.0800.080
house.prev,[-],0.25,1,point,0,99,B,PC.0800.080
f.residual,[-],0.01,0,point,0,99,B,PC.2000.070
f.aerosol,[-],0.75,0.192450089729875,Uniform,0,99,B,PC.2000.070
volume,m^3,24,0,Point,0,99,B,PC.2000.070
f.drain,[-],1,0,Uniform,0,99,B,PC.2000.070
mass,g,5,1,Lognormal,0,99,B,PC.2000.070
use.freq,1/year,52,1,lognormal,0,99,B,PC.2000.070
duration,minutes,10,1,Lognormal,0,99,B,PC.2000.070
use.prev,[-],0,1,point,0,12,B,PC.2000.070
use.prev,[-],0.01,1,point,13,99,M,PC.2000.070
use.prev,[-],0.01,1,point,13,99,W,PC.2000.070
f.contact,[-],1,0,Point,0,99,B,PC.2000.070
house.prev,[-],0.01,1,point,0,99,B,PC.2000.070
f.residual,[-],0.01,0,point,0,99,B,PC.2000.080
volume,m^3,24,0,Point,0,99,B,PC.2000.080
f.drain,[-],1,0,Uniform,0,99,B,PC.2000.080
mass,g,15,1,Lognormal,0,99,B,PC.2000.080
use.freq,1/year,52,1,lognormal,0,99,B,PC.2000.080
duration,minutes,10,1,Lognormal,0,99,B,PC.2000.080
use.prev,[-],1,1,point,0,12,B,PC.2000.080
use.prev,[-],1,1,point,13,99,M,PC.2000.080
use.prev,[-],1,1,point,13,99,W,PC.2000.080
f.contact,[-],1,0,Point,0,99,B,PC.2000.080
house.prev,[-],1,1,point,0,99,B,PC.2000.080
f.residual,[-],1,0,point,0,99,B,PC.1100.030
volume,m^3,24,0,Point,0,99,B,PC.1100.030
f.drain,[-],1,0,Uniform,0,99,B,PC.1100.030
mass,g,1,1,Lognormal,0,99,B,PC.1100.030
use.freq,1/year,79,1,lognormal,0,99,B,PC.1100.030
duration,minutes,5,1,Lognormal,0,99,B,PC.1100.030
use.prev,[-],0,1,point,0,12,B,PC.1100.030
use.prev,[-],0.01,1,point,13,99,M,PC.1100.030
use.prev,[-],0.4,1,point,13,99,W,PC.1100.030
f.contact,[-],1,0,Point,0,99,B,PC.1100.030
house.prev,[-],0.4,1,point,0,99,B,PC.1100.030
f.residual,[-],0.1,0,point,0,99,B,PC.1100.040
volume,m^3,24,0,Point,0,99,B,PC.1100.040
f.drain,[-],1,0,Uniform,0,99,B,PC.1100.040
mass,g,1,1,Lognormal,0,99,B,PC.1100.040
use.freq,1/year,52,1,lognormal,0,99,B,PC.1100.040
duration,minutes,1,1,Lognormal,0,99,B,PC.1100.040
use.prev,[-],0.01,1,point,0,12,B,PC.1100.040
use.prev,[-],0.4,1,point,13,99,M,PC.1100.040
use.prev,[-],0.4,1,point,13,99,W,PC.1100.040
f.contact,[-],1,0,Point,0,99,B,PC.1100.040
house.prev,[-],0.4,1,point,0,99,B,PC.1100.040
f.residual,[-],1,0,point,0,99,B,PC.2300.030
volume,m^3,24,0,Point,0,99,B,PC.2300.030
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.030
mass,g,0.5,1,Lognormal,0,99,B,PC.2300.030
use.freq,1/year,290,1,lognormal,0,99,B,PC.2300.030
duration,minutes,5,1,Lognormal,0,99,B,PC.2300.030
use.prev,[-],0.02,1,point,0,12,B,PC.2300.030
use.prev,[-],0.01,1,point,13,99,M,PC.2300.030
use.prev,[-],0.8,1,point,13,99,W,PC.2300.030
f.contact,[-],1,0,Point,0,99,B,PC.2300.030
house.prev,[-],0.8,1,point,0,99,B,PC.2300.030
f.residual,[-],1,0,point,0,99,B,PC.2300.040
volume,m^3,24,0,Point,0,99,B,PC.2300.040
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.040
mass,g,1,1,Lognormal,0,99,B,PC.2300.040
use.freq,1/year,290,1,lognormal,0,99,B,PC.2300.040
duration,minutes,5,1,Lognormal,0,99,B,PC.2300.040
use.prev,[-],0,1,point,0,12,B,PC.2300.040
use.prev,[-],0.01,1,point,13,99,M,PC.2300.040
use.prev,[-],0.8,1,point,13,99,W,PC.2300.040
f.contact,[-],1,0,Point,0,99,B,PC.2300.040
house.prev,[-],0.8,1,point,0,99,B,PC.2300.040
f.residual,[-],1,0,point,0,99,B,PC.1100.060
volume,m^3,24,0,Point,0,99,B,PC.1100.060
f.drain,[-],1,0,Uniform,0,99,B,PC.1100.060
mass,g,1,1,Lognormal,0,99,B,PC.1100.060
use.freq,1/year,290,1,lognormal,0,99,B,PC.1100.060
duration,minutes,5,1,Lognormal,0,99,B,PC.1100.060
use.prev,[-],0,1,point,0,12,B,PC.1100.060
use.prev,[-],0.01,1,point,13,99,M,PC.1100.060
use.prev,[-],0.8,1,point,13,99,W,PC.1100.060
f.contact,[-],1,0,Point,0,99,B,PC.1100.060
house.prev,[-],0.8,1,point,0,99,B,PC.1100.060
f.residual,[-],1,0,point,0,99,B,PC.2300.050
volume,m^3,24,0,Point,0,99,B,PC.2300.050
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.050
mass,g,0.1,1,Lognormal,0,99,B,PC.2300.050
use.freq,1/year,230,1,lognormal,0,99,B,PC.2300.050
duration,minutes,2,1,Lognormal,0,99,B,PC.2300.050
use.prev,[-],0.02,1,point,0,12,B,PC.2300.050
use.prev,[-],0.01,1,point,13,99,M,PC.2300.050
use.prev,[-],0.79,1,point,13,99,W,PC.2300.050
f.contact,[-],1,0,Point,0,99,B,PC.2300.050
house.prev,[-],0.79,1,point,0,99,B,PC.2300.050
f.residual,[-],0.05,0,point,0,99,B,PC.1200.010
volume,m^3,24,0,Point,0,99,B,PC.1200.010
f.drain,[-],1,0,Uniform,0,99,B,PC.1200.010
mass,g,1,1,Lognormal,0,99,B,PC.1200.010
use.freq,1/year,365,1,lognormal,0,99,B,PC.1200.010
duration,minutes,5,1,Lognormal,0,99,B,PC.1200.010
use.prev,[-],0.01,1,point,0,12,B,PC.1200.010
use.prev,[-],0.05,1,point,13,99,M,PC.1200.010
use.prev,[-],0.05,1,point,13,99,W,PC.1200.010
f.contact,[-],1,0,Point,0,99,B,PC.1200.010
house.prev,[-],0.05,1,point,0,99,B,PC.1200.010
f.residual,[-],1,0,point,0,99,B,PC.1200.020
f.aerosol,[-],0.15,0.192450089729875,Uniform,0,99,B,PC.1200.020
volume,m^3,24,0,Point,0,99,B,PC.1200.020
f.drain,[-],1,0,Uniform,0,99,B,PC.1200.020
mass,g,1.5,1,Lognormal,0,99,B,PC.1200.020
use.freq,1/year,92,1,lognormal,0,99,M,PC.1200.020
use.freq,1/year,400,1,lognormal,0,99,W,PC.1200.020
duration,minutes,5,1,Lognormal,0,99,B,PC.1200.020
use.prev,[-],0.1,1,point,0,12,B,PC.1200.020
use.prev,[-],0.29,1,point,13,99,M,PC.1200.020
use.prev,[-],0.81,1,point,13,99,W,PC.1200.020
f.contact,[-],1,0,Point,0,99,B,PC.1200.020
house.prev,[-],0.81,1,point,0,99,B,PC.1200.020
use.freq,1/year,92,1,lognormal,0,99,B,PC.1200.020
use.freq,1/year,400,1,lognormal,0,99,B,PC.1200.020
f.residual,[-],0.05,0,point,0,99,B,PC.1200.030
volume,m^3,24,0,Point,0,99,B,PC.1200.030
f.drain,[-],1,0,Uniform,0,99,B,PC.1200.030
mass,g,10,1,Lognormal,0,99,B,PC.1200.030
use.freq,1/year,52,1,lognormal,0,99,B,PC.1200.030
duration,minutes,15,1,Lognormal,0,99,B,PC.1200.030
use.prev,[-],0,1,point,0,12,B,PC.1200.030
use.prev,[-],0.2,1,point,13,99,M,PC.1200.030
use.prev,[-],0.5,1,point,13,99,W,PC.1200.030
f.contact,[-],1,0,Point,0,99,B,PC.1200.030
house.prev,[-],0.5,1,point,0,99,B,PC.1200.030
f.residual,[-],1,0,point,0,99,B,PC.2300.060
volume,m^3,24,0,Point,0,99,B,PC.2300.060
f.drain,[-],1,0,Uniform,0,99,B,PC.2300.060
mass,g,0.1,1,Lognormal,0,99,B,PC.2300.060
use.freq,1/year,164,1,lognormal,0,99,B,PC.2300.060
duration,minutes,2,1,Lognormal,0,99,B,PC.2300.060
use.prev,[-],0,1,point,0,12,B,PC.2300.060
use.prev,[-],0.1,1,point,13,99,M,PC.2300.060
use.prev,[-],0.6,1,point,13,99,W,PC.2300.060
f.contact,[-],1,0,Point,0,99,B,PC.2300.060
house.prev,[-],0.6,1,point,0,99,B,PC.2300.060
f.residual,[-],0.05,0,point,0,99,B,PC.0100.020
volume,m^3,24,0,Point,0,99,B,PC.0100.020
f.drain,[-],1,0,Uniform,0,99,B,PC.0100.020
mass,g,2.5,1,Lognormal,0,99,B,PC.0100.020
use.freq,1/year,365,1,lognormal,0,99,B,PC.0100.020
duration,minutes,5,1,Lognormal,0,99,B,PC.0100.020
use.prev,[-],0.05,1,point,0,12,B,PC.0100.020
use.prev,[-],0.05,1,point,13,99,M,PC.0100.020
use.prev,[-],0.05,1,point,13,99,W,PC.0100.020
f.contact,[-],1,0,Point,0,99,B,PC.0100.020
house.prev,[-],0.05,1,point,0,99,B,PC.0100.020
f.residual,[-],0.05,0,point,0,99,B,PC.1200.040
volume,m^3,24,0,Point,0,99,B,PC.1200.040
f.drain,[-],1,0,Uniform,0,99,B,PC.1200.040
mass,g,2.5,1,Lognormal,0,99,B,PC.1200.040
use.freq,1/year,365,1,lognormal,0,99,B,PC.1200.040
duration,minutes,5,1,Lognormal,0,99,B,PC.1200.040
use.prev,[-],0,1,point,0,5,B,PC.1200.040
use.prev,[-],0.11,1,point,6,12,M,PC.1200.040
use.prev,[-],0.42,1,point,6,12,W,PC.1200.040
use.prev,[-],0.5,1,point,13,99,M,PC.1200.040
use.prev,[-],0.2,1,point,13,99,W,PC.1200.040
f.contact,[-],1,0,Point,0,99,B,PC.1200.040
house.prev,[-],0.5,1,point,0,99,B,PC.1200.040
f.residual,[-],0.05,0,point,0,99,B,PC.0100.030
volume,m^3,24,0,Point,0,99,B,PC.0100.030
f.drain,[-],1,0,Uniform,0,99,B,PC.0100.030
mass,g,2.5,1,Lognormal,0,99,B,PC.0100.030
use.freq,1/year,365,1,lognormal,0,99,B,PC.0100.030
duration,minutes,5,1,Lognormal,0,99,B,PC.0100.030
use.prev,[-],0.05,1,point,0,12,B,PC.0100.030
use.prev,[-],0.05,1,point,13,99,M,PC.0100.030
use.prev,[-],0.05,1,point,13,99,W,PC.0100.030
f.contact,[-],1,0,Point,0,99,B,PC.0100.030
house.prev,[-],0.05,1,point,0,99,B,PC.0100.030
f.residual,[-],0.05,0,point,0,99,B,PC.1200.050
f.aerosol,[-],0.15,0.192450089729875,Uniform,0,99,B,PC.1200.050
volume,m^3,24,0,Point,0,99,B,PC.1200.050
f.drain,[-],1,0,Uniform,0,99,B,PC.1200.050
mass,g,2.5,1,Lognormal,0,99,B,PC.1200.050
use.freq,1/year,365,1,lognormal,0,99,B,PC.1200.050
duration,minutes,5,1,Lognormal,0,99,B,PC.1200.050
use.prev,[-],0,1,point,0,5,B,PC.1200.050
use.prev,[-],0.11,1,point,6,12,M,PC.1200.050
use.prev,[-],0.42,1,point,6,12,W,PC.1200.050
use.prev,[-],0.5,1,point,13,99,M,PC.1200.050
use.prev,[-],0.2,1,point,13,99,W,PC.1200.050
f.contact,[-],1,0,Point,0,99,B,PC.1200.050
house.prev,[-],0.5,1,point,0,99,B,PC.1200.050
